INFO buildroot.py:667:  Mock Version: 6.1
DEBUG file_util.py:21:  created dir: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/dev/mapper
DEBUG buildroot.py:867:  kernel version == 6.13.8-200.fc41.x86_64
DEBUG file_util.py:30:  touching file: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/fstab
DEBUG file_util.py:30:  touching file: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/yum/yum.conf
DEBUG file_util.py:30:  touching file: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/dnf/dnf.conf
DEBUG file_util.py:30:  touching file: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/var/log/yum.log
DEBUG buildroot.py:332:  rootdir = /var/lib/mock/f43-build-59088491-6571000-bootstrap/root
DEBUG buildroot.py:333:  resultdir = /var/lib/mock/f43-build-59088491-6571000-bootstrap/results
DEBUG package_manager.py:63:  searching for 'dnf5' package manager or alternatives
INFO buildroot.py:181:  Package manager dnf5 detected and used (fallback)
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/mock
DEBUG file_util.py:21:  created dir: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/mock
DEBUG file_util.py:158:  Updating files in /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust with files from /etc/pki/ca-trust
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust
DEBUG file_util.py:21:  created dir: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust/./extracted
DEBUG file_util.py:21:  created dir: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust/./extracted
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust/./source
DEBUG file_util.py:21:  created dir: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust/./source
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust/extracted/edk2
DEBUG file_util.py:21:  created dir: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust/extracted/edk2
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust/extracted/java
DEBUG file_util.py:21:  created dir: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust/extracted/java
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust/extracted/openssl
DEBUG file_util.py:21:  created dir: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust/extracted/openssl
DEBUG file_util.py:18:  ensuring that dir exists: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust/extracted/pem
DEBUG file_util.py:21:  created dir: /var/lib/mock/f43-build-59088491-6571000-bootstrap/root/etc/pki/ca-trust/extracted/pem
